A00,Cholera,ICD10_2010
A00.0,"Cholera due to vibrio cholerae 01, biovar cholerae",ICD10_2010
A00.1,"Cholera due to vibrio cholerae 01, biovar eltor",ICD10_2010
A00.9,"Cholera, unspecified",ICD10_2010
A01,Typhoid and paratyphoid fevers,ICD10_2010
A01.0,Typhoid fever,ICD10_2010
A01.1,Paratyphoid fever a,ICD10_2010
A01.2,Paratyphoid fever b,ICD10_2010
A01.3,Paratyphoid fever c,ICD10_2010
A01.4,"Paratyphoid fever, unspecified",ICD10_2010
A02,Other salmonella infections,ICD10_2010
A02.0,Salmonella enteritis,ICD10_2010
A02.1,Salmonella septicaemia,ICD10_2010
A02.2,Localized salmonella infections,ICD10_2010
A02.8,Other specified salmonella infections,ICD10_2010
A02.9,"Salmonella infection, unspecified",ICD10_2010
A03,Shigellosis,ICD10_2010
A03.0,Shigellosis due to shigella dysenteriae,ICD10_2010
A03.1,Shigellosis due to shigella flexneri,ICD10_2010
A03.2,Shigellosis due to shigella boydii,ICD10_2010
A03.3,Shigellosis due to shigella sonnei,ICD10_2010
A03.8,Other shigellosis,ICD10_2010
A03.9,"Shigellosis, unspecified",ICD10_2010
A04,Other bacterial intestinal infections,ICD10_2010
A04.0,Enteropathogenic escherichia coli infection,ICD10_2010
A04.1,Enterotoxigenic escherichia coli infection,ICD10_2010
A04.2,Enteroinvasive escherichia coli infection,ICD10_2010
A04.3,Enterohaemorrhagic escherichia coli infection,ICD10_2010
A04.4,Other intestinal escherichia coli infections,ICD10_2010
A04.5,Campylobacter enteritis,ICD10_2010
A04.6,Enteritis due to yersinia enterocolitica,ICD10_2010
A04.7,Enterocolitis due to clostridium difficile,ICD10_2010
A04.8,Other specified bacterial intestinal infections,ICD10_2010
A04.9,"Bacterial intestinal infection, unspecified",ICD10_2010
A05,"Other bacterial foodborne intoxications, not elsewhere classified",ICD10_2010
A05.0,Foodborne staphylococcal intoxication,ICD10_2010
A05.1,Botulism,ICD10_2010
A05.2,Foodborne clostridium perfringens intoxication,ICD10_2010
A05.3,Foodborne vibrio parahaemolyticus intoxication,ICD10_2010
A05.4,Foodborne bacillus cereus intoxication,ICD10_2010
A05.8,Other specified bacterial foodborne intoxications,ICD10_2010
A05.9,"Bacterial foodborne intoxication, unspecified",ICD10_2010
A06,Amoebiasis,ICD10_2010
A06.0,Acute amoebic dysentery,ICD10_2010
A06.1,Chronic intestinal amoebiasis,ICD10_2010
A06.2,Amoebic nondysenteric colitis,ICD10_2010
A06.3,Amoeboma of intestine,ICD10_2010
A06.4,Amoebic liver abscess,ICD10_2010
A06.5,Amoebic lung abscess,ICD10_2010
A06.6,Amoebic brain abscess,ICD10_2010
A06.7,Cutaneous amoebiasis,ICD10_2010
A06.8,Amoebic infection of other sites,ICD10_2010
A06.9,"Amoebiasis, unspecified",ICD10_2010
A07,Other protozoal intestinal diseases,ICD10_2010
A07.0,Balantidiasis,ICD10_2010
A07.1,Giardiasis [lambliasis],ICD10_2010
A07.2,Cryptosporidiosis,ICD10_2010
A07.3,Isosporiasis,ICD10_2010
A07.8,Other specified protozoal intestinal diseases,ICD10_2010
A07.9,"Protozoal intestinal disease, unspecified",ICD10_2010
A08,Viral and other specified intestinal infections,ICD10_2010
A08.0,Rotaviral enteritis,ICD10_2010
A08.1,Acute gastroenteropathy due to norwalk agent,ICD10_2010
A08.2,Adenoviral enteritis,ICD10_2010
A08.3,Other viral enteritis,ICD10_2010
A08.4,"Viral intestinal infection, unspecified",ICD10_2010
A08.5,Other specified intestinal infections,ICD10_2010
A09,Diarrhoea and gastroenteritis of presumed infectious origin,ICD10_2010
A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,ICD10_2010
A09.9,Gastroenteritis and colitis of unspecified origin,ICD10_2010
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",ICD10_2010
