1,Radiologi,Bone mineral densitometry (BMD),Permintaan,83311-1,Bone density quantitative measurement by DXA panel,Bone density quantitative measurement panel,-,Pt,Whole body>Skeletal system,Qn,DXA,,http://loinc.org,,,
2,Radiologi,Bone mineral densitometry (BMD) vertebra lumbal (g/cm2),Hasil,24966-4,DXA Lumbar spine [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Abdomen>Spine.lumbar,Qn,DXA,g/cm2,http://loinc.org,,,
3,Radiologi,Bone mineral densitometry (BMD) vertebra lumbal (T-score),Hasil,38267-1,DXA Lumbar spine [T-score] Bone density,Views for bone density,Tscore,Pt,Abdomen>Spine.lumbar,Qn,DXA,{T-score},http://loinc.org,,,
4,Radiologi,Bone mineral densitometry (BMD) vertebra lumbal (Z-score),Hasil,85394-5,DXA Lumbar spine [Z-score] Bone density,Views for bone density,Zscore,Pt,Abdomen>Spine.lumbar,Qn,DXA,{Zscore},http://loinc.org,,,
5,Radiologi,Bone mineral densitometry (BMD) total body composition WO kontras,Permintaan & Hasil,63520-1,PhenX - body composition by dual-energy x-ray absorptiometry protocol 020301,PhenX - body composition by dual-energy x-ray absorptiometry protocol 020301,-,Pt,^Patient,-,PhenX,,http://loinc.org,,,
6,Radiologi,Bone mineral densitometry (BMD) tulang aksial dan fraktur vertebra,Permintaan & Hasil,83014-1,DXA Skeletal system.axial Views for bone density and vertebral fracture,Views for bone density+vertebral fracture,Find,Pt,Whole body>Skeletal system.axial,Doc,DXA,,http://loinc.org,,,
7,Radiologi,Bone mineral densitometry (BMD) tulang axial,Permintaan & Hasil,83012-5,DXA Skeletal system.axial Views for bone density,Views for bone density,Find,Pt,Whole body>Skeletal system.axial,Doc,DXA,,http://loinc.org,,,
8,Radiologi,Bone mineral densitometry (BMD) tulang periferal,Permintaan & Hasil,83013-3,DXA Skeletal system.peripheral Views for bone density,Views for bone density,Find,Pt,Whole body>Skeletal system.peripheral,Doc,DXA,,http://loinc.org,,,
9,Radiologi,Bone mineral densitometry (BMD) forearm (g/cm2),Hasil,24890-6,DXA Radius and Ulna [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Upper extremity>Radius+Ulna,Qn,DXA,g/cm2,http://loinc.org,,,
10,Radiologi,Bone mineral densitometry (BMD) forearm (T-score),Hasil,38265-5,DXA Radius and Ulna [T-score] Bone density,Views for bone density,Tscore,Pt,Upper extremity>Radius+Ulna,Qn,DXA,{T-score},http://loinc.org,,,
11,Radiologi,Bone mineral densitometry (BMD) forearm (Z-score),Permintaan & Hasil,80932-7,DXA Radius and Ulna [Z-score] Bone density,Views for bone density,Zscore,Pt,Upper extremity>Radius+Ulna,Qn,DXA,{Zscore},http://loinc.org,,,
12,Radiologi,Bone mineral densitometry (BMD) forearm kiri (g/cm2),Permintaan & Hasil,80952-5,DXA Radius and Ulna - left [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Upper extremity.left>Radius+Ulna,Qn,DXA,g/cm2,http://loinc.org,,,
13,Radiologi,Bone mineral densitometry (BMD) forearm kiri (T-score),Permintaan & Hasil,80944-2,DXA Radius and Ulna - left [T-score] Bone density,Views for bone density,Tscore,Pt,Upper extremity.left>Radius+Ulna,Qn,DXA,{Tscore},http://loinc.org,,,
