"A00","Cholera",,,"-","Tidak Menular"
"A00.0","Cholera due to vibrio cholerae 01, biovar cholerae",,,"-","Tidak Menular"
"A00.1","Cholera due to vibrio cholerae 01, biovar eltor",,,"-","Tidak Menular"
"A00.9","Cholera, unspecified",,,"-","Tidak Menular"
"A01","Typhoid and paratyphoid fevers",,,"-","Tidak Menular"
"A01.0","Typhoid fever","-","-","-","Tidak Menular"
"A01.1","Paratyphoid fever a",,,"-","Tidak Menular"
"A01.2","Paratyphoid fever b",,,"-","Tidak Menular"
"A01.3","Paratyphoid fever c",,,"-","Tidak Menular"
"A01.4","Paratyphoid fever, unspecified",,,"-","Tidak Menular"
"A02","Other salmonella infections",,,"-","Tidak Menular"
"A02.0","Salmonella enteritis",,,"-","Tidak Menular"
"A02.1","Salmonella septicaemia",,,"-","Tidak Menular"
"A02.2","Localized salmonella infections",,,"-","Tidak Menular"
"A02.8","Other specified salmonella infections",,,"-","Tidak Menular"
"A02.9","Salmonella infection, unspecified",,,"-","Tidak Menular"
"A03","Shigellosis",,,"-","Tidak Menular"
"A03.0","Shigellosis due to shigella dysenteriae",,,"-","Tidak Menular"
"A03.1","Shigellosis due to shigella flexneri",,,"-","Tidak Menular"
"A03.2","Shigellosis due to shigella boydii",,,"-","Tidak Menular"
"A03.3","Shigellosis due to shigella sonnei",,,"-","Tidak Menular"
"A03.8","Other shigellosis",,,"-","Tidak Menular"
"A03.9","Shigellosis, unspecified",,,"-","Tidak Menular"
"A04","Other bacterial intestinal infections",,,"-","Tidak Menular"
"A04.0","Enteropathogenic escherichia coli infection",,,"-","Tidak Menular"
"A04.1","Enterotoxigenic escherichia coli infection",,,"-","Tidak Menular"
"A04.2","Enteroinvasive escherichia coli infection",,,"-","Tidak Menular"
"A04.3","Enterohaemorrhagic escherichia coli infection",,,"-","Tidak Menular"
"A04.4","Other intestinal escherichia coli infections",,,"-","Tidak Menular"
"A04.5","Campylobacter enteritis",,,"-","Tidak Menular"
"A04.6","Enteritis due to yersinia enterocolitica",,,"-","Tidak Menular"
"A04.7","Enterocolitis due to clostridium difficile",,,"-","Tidak Menular"
"A04.8","Other specified bacterial intestinal infections",,,"-","Tidak Menular"
"A04.9","Bacterial intestinal infection, unspecified",,,"-","Tidak Menular"
"A05","Other bacterial foodborne intoxications, not elsewhere classified",,,"-","Tidak Menular"
"A05.0","Foodborne staphylococcal intoxication",,,"-","Tidak Menular"
"A05.1","Botulism",,,"-","Tidak Menular"
"A05.2","Foodborne clostridium perfringens intoxication",,,"-","Tidak Menular"
"A05.3","Foodborne vibrio parahaemolyticus intoxication",,,"-","Tidak Menular"
"A05.4","Foodborne bacillus cereus intoxication",,,"-","Tidak Menular"
"A05.8","Other specified bacterial foodborne intoxications",,,"-","Tidak Menular"
"A05.9","Bacterial foodborne intoxication, unspecified",,,"-","Tidak Menular"
"A06","Amoebiasis",,,"-","Tidak Menular"
"A06.0","Acute amoebic dysentery",,,"-","Tidak Menular"
"A06.1","Chronic intestinal amoebiasis",,,"-","Tidak Menular"
"A06.2","Amoebic nondysenteric colitis",,,"-","Tidak Menular"
"A06.3","Amoeboma of intestine",,,"-","Tidak Menular"
"A06.4","Amoebic liver abscess",,,"-","Tidak Menular"
"A06.5","Amoebic lung abscess",,,"-","Tidak Menular"
"A06.6","Amoebic brain abscess",,,"-","Tidak Menular"
"A06.7","Cutaneous amoebiasis",,,"-","Tidak Menular"
"A06.8","Amoebic infection of other sites",,,"-","Tidak Menular"
"A06.9","Amoebiasis, unspecified","-","-","-","Tidak Menular"
"A07","Other protozoal intestinal diseases",,,"-","Tidak Menular"
"A07.0","Balantidiasis",,,"-","Tidak Menular"
"A07.1","Giardiasis [lambliasis]",,,"-","Tidak Menular"
"A07.2","Cryptosporidiosis",,,"-","Tidak Menular"
"A07.3","Isosporiasis",,,"-","Tidak Menular"
"A07.8","Other specified protozoal intestinal diseases",,,"-","Tidak Menular"
"A07.9","Protozoal intestinal disease, unspecified",,,"-","Tidak Menular"
"A08","Viral and other specified intestinal infections",,,"-","Tidak Menular"
"A08.0","Rotaviral enteritis",,,"-","Tidak Menular"
"A08.1","Acute gastroenteropathy due to norwalk agent",,,"-","Tidak Menular"
"A08.2","Adenoviral enteritis",,,"-","Tidak Menular"
"A08.3","Other viral enteritis",,,"-","Tidak Menular"
"A08.4","Viral intestinal infection, unspecified",,,"-","Tidak Menular"
"A08.5","Other specified intestinal infections",,,"-","Tidak Menular"
"A09","Diarrhoea and gastroenteritis of presumed infectious origin",,,"-","Tidak Menular"
"A09.0","Other and unspecified gastroenteritis and colitis of infectious origin",,,"-","Tidak Menular"
"A09.9","Gastroenteritis and colitis of unspecified origin",,,"-","Tidak Menular"
"A15","Respiratory tuberculosis, bacteriologically and histologically confirmed",,,"-","Tidak Menular"
"A15.0","Tb lung confirm sputum microscopy with or without culture",,,"-","Tidak Menular"
"A15.1","Tuberculosis of lung, confirmed by culture only",,,"-","Tidak Menular"
"A15.2","Tuberculosis of lung, confirmed histologically",,,"-","Tidak Menular"
"A15.3","Tuberculosis of lung, confirmed by unspecified means",,,"-","Tidak Menular"
"A15.4","Tb intrathoracic lymph nodes confirm bact histologically",,,"-","Tidak Menular"
"A15.5","Tuberculosis of larynx, trachea & bronchus conf bacthist\'y",,,"-","Tidak Menular"
"A15.6","Tuberculous pleurisy, conf bacteriologicallyhis\'y",,,"-","Tidak Menular"
"A15.7","Primary respiratory tb confirm bact and histologically",,,"-","Tidak Menular"
"A15.8","Other respiratory tb confirm bact and histologically",,,"-","Tidak Menular"
"A15.9","Respiratory tb unspec confirm bact and histologically",,,"-","Tidak Menular"
"A16","Respiratory tuberculosis, not confirmed bacteriologically or histologically",,,"-","Tidak Menular"
"A16.0","Tuberculosis of lung, bacteriologically & histolog\'y neg",,,"-","Tidak Menular"
"A16.1","Tuberculosis lung bact and histological examin not done",,,"-","Tidak Menular"
"A16.2","Tb lung without mention of bact or histological confirm",,,"-","Tidak Menular"
"A16.3","Tb intrathoracic lymph node without bact or hist confirm",,,"-","Tidak Menular"
"A16.4","Tb larynx trachea and bronchus without bact or hist confirm",,,"-","Tidak Menular"
"A16.5","Tb pleurisy without mention of bact or histological confirm",,,"-","Tidak Menular"
"A16.7","Prim respiratory tb without mention of bact or hist confirm",,,"-","Tidak Menular"
"A16.8","Oth respiratory tb without mention of bact or hist confirm",,,"-","Tidak Menular"
"A16.9","Resp tb unspec without mention of bact or hist confirm",,,"-","Tidak Menular"
"A17","Tuberculosis of nervous system",,,"-","Tidak Menular"
"A17.0","Tuberculous meningitis",,,"-","Tidak Menular"
"A17.1","Meningeal tuberculoma",,,"-","Tidak Menular"
"A17.8","Other tuberculosis of nervous system",,,"-","Tidak Menular"
"A17.9","Tuberculosis of nervous system unspecified",,,"-","Tidak Menular"
"A18","Tuberculosis of other organs",,,"-","Tidak Menular"
"A18.0","Tuberculosis of bones and joints",,,"-","Tidak Menular"
"A18.1","Tuberculosis of genitourinary system",,,"-","Tidak Menular"
"A18.2","Tuberculous peripheral lymphadenopathy",,,"-","Tidak Menular"
"A18.3","Tuberculosis of intestines, peritoneum and mesenteric glands",,,"-","Tidak Menular"
"A18.4","Tuberculosis of skin and subcutaneous tissue",,,"-","Tidak Menular"
"A18.5","Tuberculosis of eye",,,"-","Tidak Menular"
"A18.6","Tuberculosis of ear",,,"-","Tidak Menular"
"A18.7","Tuberculosis of adrenal glands",,,"-","Tidak Menular"
"A18.8","Tuberculosis of other specified organs",,,"-","Tidak Menular"
"A19","Miliary tuberculosis",,,"-","Tidak Menular"
"A19.0","Acute miliary tuberculosis of a single specified site",,,"-","Tidak Menular"
"A19.1","Acute miliary tuberculosis of multiple sites",,,"-","Tidak Menular"
"A19.2","Acute miliary tuberculosis, unspecified",,,"-","Tidak Menular"
"A19.8","Other miliary tuberculosis",,,"-","Tidak Menular"
"A19.9","Miliary tuberculosis, unspecified",,,"-","Tidak Menular"
"A20","Plague",,,"-","Tidak Menular"
"A20.0","Bubonic plague",,,"-","Tidak Menular"
"A20.1","Cellulocutaneous plague",,,"-","Tidak Menular"
"A20.2","Pneumonic plague",,,"-","Tidak Menular"
"A20.3","Plague meningitis",,,"-","Tidak Menular"
"A20.7","Septicaemic plague",,,"-","Tidak Menular"
"A20.8","Other forms of plague",,,"-","Tidak Menular"
"A20.9","Plague, unspecified",,,"-","Tidak Menular"
"A21","Tularaemia",,,"-","Tidak Menular"
"A21.0","Ulceroglandular tularaemia",,,"-","Tidak Menular"
"A21.1","Oculoglandular tularaemia",,,"-","Tidak Menular"
"A21.2","Pulmonary tularaemia",,,"-","Tidak Menular"
"A21.3","Gastrointestinal tularaemia",,,"-","Tidak Menular"
"A21.7","Generalized tularaemia",,,"-","Tidak Menular"
"A21.8","Other forms of tularaemia",,,"-","Tidak Menular"
"A21.9","Tularaemia, unspecified",,,"-","Tidak Menular"
"A22","Anthrax",,,"-","Tidak Menular"
"A22.0","Cutaneous anthrax",,,"-","Tidak Menular"
"A22.1","Pulmonary anthrax",,,"-","Tidak Menular"
"A22.2","Gastrointestinal anthrax",,,"-","Tidak Menular"
"A22.7","Anthrax septicaemia",,,"-","Tidak Menular"
"A22.8","Other forms of anthrax",,,"-","Tidak Menular"
"A22.9","Anthrax, unspecified",,,"-","Tidak Menular"
"A23","Brucellosis",,,"-","Tidak Menular"
"A23.0","Brucellosis due to brucella melitensis",,,"-","Tidak Menular"
"A23.1","Brucellosis due to brucella abortus",,,"-","Tidak Menular"
"A23.2","Brucellosis due to brucella suis",,,"-","Tidak Menular"
"A23.3","Brucellosis due to brucella canis",,,"-","Tidak Menular"
"A23.8","Other brucellosis",,,"-","Tidak Menular"
"A23.9","Brucellosis, unspecified",,,"-","Tidak Menular"
"A24","Glanders and melioidosis",,,"-","Tidak Menular"
"A24.0","Glanders",,,"-","Tidak Menular"
"A24.1","Acute and fulminating melioidosis",,,"-","Tidak Menular"
"A24.2","Subacute and chronic melioidosis",,,"-","Tidak Menular"
"A24.3","Other melioidosis",,,"-","Tidak Menular"
"A24.4","Melioidosis, unspecified",,,"-","Tidak Menular"
"A25","Rat-bite fevers",,,"-","Tidak Menular"
"A25.0","Spirillosis",,,"-","Tidak Menular"
"A25.1","Streptobacillosis",,,"-","Tidak Menular"
"A25.9","Rat-bite fever, unspecified",,,"-","Tidak Menular"
"A26","Erysipeloid",,,"-","Tidak Menular"
"A26.0","Cutaneous erysipeloid",,,"-","Tidak Menular"
"A26.7","Erysipelothrix septicaemia",,,"-","Tidak Menular"
"A26.8","Other forms of erysipeloid",,,"-","Tidak Menular"
"A26.9","Erysipeloid, unspecified",,,"-","Tidak Menular"
"A27","Leptospirosis",,,"-","Tidak Menular"
"A27.0","Leptospirosis icterohaemorrhagica",,,"-","Tidak Menular"
"A27.8","Other forms of leptospirosis",,,"-","Tidak Menular"
"A27.9","Leptospirosis, unspecified",,,"-","Tidak Menular"
"A28","Other zoonotic bacterial diseases, not elsewhere classified",,,"-","Tidak Menular"
"A28.0","Pasteurellosis",,,"-","Tidak Menular"
"A28.1","Cat-scratch disease",,,"-","Tidak Menular"
"A28.2","Extraintestinal yersiniosis",,,"-","Tidak Menular"
"A28.8","Other specified zoonotic bacterial diseases nec",,,"-","Tidak Menular"
"A28.9","Zoonotic bacterial disease, unspecified",,,"-","Tidak Menular"
"A30","Leprosy [Hansen disease]",,,"-","Tidak Menular"
"A30.0","Indeterminate leprosy",,,"-","Tidak Menular"
"A30.1","Tuberculoid leprosy",,,"-","Tidak Menular"
"A30.2","Borderline tuberculoid leprosy",,,"-","Tidak Menular"
"A30.3","Borderline leprosy",,,"-","Tidak Menular"
"A30.4","Borderline lepromatous leprosy",,,"-","Tidak Menular"
"A30.5","Lepromatous leprosy",,,"-","Tidak Menular"
"A30.8","Other forms of leprosy",,,"-","Tidak Menular"
"A30.9","Leprosy, unspecified",,,"-","Tidak Menular"
"A31","Infection due to other mycobacteria",,,"-","Tidak Menular"
"A31.0","Pulmonary mycobacterial infection",,,"-","Tidak Menular"
"A31.1","Cutaneous mycobacterial infection",,,"-","Tidak Menular"
"A31.8","Other mycobacterial infections",,,"-","Tidak Menular"
"A31.9","Mycobacterial infection, unspecified",,,"-","Tidak Menular"
"A32","Listeriosis",,,"-","Tidak Menular"
"A32.0","Cutaneous listeriosis",,,"-","Tidak Menular"
"A32.1","Listerial meningitis and meningoencephalitis",,,"-","Tidak Menular"
"A32.7","Listerial septicaemia",,,"-","Tidak Menular"
"A32.8","Other forms of listeriosis",,,"-","Tidak Menular"
"A32.9","Listeriosis, unspecified",,,"-","Tidak Menular"
"A33","Tetanus neonatorum",,,"-","Tidak Menular"
"A34","Obstetrical tetanus",,,"-","Tidak Menular"
"A35","Other tetanus",,,"-","Tidak Menular"
"A36","Diphtheria",,,"-","Tidak Menular"
"A36.0","Pharyngeal diphtheria",,,"-","Tidak Menular"
"A36.1","Nasopharyngeal diphtheria",,,"-","Tidak Menular"
"A36.2","Laryngeal diphtheria",,,"-","Tidak Menular"
"A36.3","Cutaneous diphtheria",,,"-","Tidak Menular"
"A36.8","Other diphtheria",,,"-","Tidak Menular"
"A36.9","Diphtheria, unspecified",,,"-","Tidak Menular"
"A37","Whooping cough",,,"-","Tidak Menular"
"A37.0","Whooping cough due to bordetella pertussis",,,"-","Tidak Menular"
"A37.1","Whooping cough due to bordetella parapertussis",,,"-","Tidak Menular"
"A37.8","Whooping cough due to other bordetella species",,,"-","Tidak Menular"
"A37.9","Whooping cough, unspecified",,,"-","Tidak Menular"
"A38","Scarlet fever",,,"-","Tidak Menular"
"A39","Meningococcal infection",,,"-","Tidak Menular"
"A39.0","Meningococcal meningitis",,,"-","Tidak Menular"
"A39.1","Waterhouse-friderichsen syndrome",,,"-","Tidak Menular"
"A39.2","Acute meningococcaemia",,,"-","Tidak Menular"
"A39.3","Chronic meningococcaemia",,,"-","Tidak Menular"
"A39.4","Meningococcaemia, unspecified",,,"-","Tidak Menular"
"A39.5","Meningococcal heart disease",,,"-","Tidak Menular"
"A39.8","Other meningococcal infections",,,"-","Tidak Menular"
"A39.9","Meningococcal infection, unspecified",,,"-","Tidak Menular"
"A40","Streptococcal sepsis",,,"-","Tidak Menular"
"A40.0","Septicaemia due to streptococcus, group a",,,"-","Tidak Menular"
"A40.1","Septicaemia due to streptococcus, group b",,,"-","Tidak Menular"
"A40.2","Septicaemia due to streptococcus, group d",,,"-","Tidak Menular"
"A40.3","Septicaemia due to streptococcus pneumoniae",,,"-","Tidak Menular"
"A40.8","Other streptococcal septicaemia",,,"-","Tidak Menular"
"A40.9","Streptococcal septicaemia, unspecified",,,"-","Tidak Menular"
"A41","Other sepsis",,,"-","Tidak Menular"
"A41.0","Septicaemia due to staphylococcus aureus",,,"-","Tidak Menular"
"A41.1","Septicaemia due to other specified staphylococcus",,,"-","Tidak Menular"
"A41.2","Septicaemia due to unspecified staphylococcus",,,"-","Tidak Menular"
"A41.3","Septicaemia due to haemophilus influenzae",,,"-","Tidak Menular"
"A41.4","Septicaemia due to anaerobes",,,"-","Tidak Menular"
"A41.5","Septicaemia due to other gram-negative organisms",,,"-","Tidak Menular"
"A41.8","Other specified septicaemia",,,"-","Tidak Menular"
"A41.9","Septicaemia, unspecified",,,"-","Tidak Menular"
"A42","Actinomycosis",,,"-","Tidak Menular"
"A42.0","Pulmonary actinomycosis",,,"-","Tidak Menular"
"A42.1","Abdominal actinomycosis",,,"-","Tidak Menular"
"A42.2","Cervicofacial actinomycosis",,,"-","Tidak Menular"
"A42.7","Actinomycotic septicaemia",,,"-","Tidak Menular"
"A42.8","Other forms of actinomycosis",,,"-","Tidak Menular"
"A42.9","Actinomycosis, unspecified",,,"-","Tidak Menular"
"A43","Nocardiosis",,,"-","Tidak Menular"
"A43.0","Pulmonary nocardiosis",,,"-","Tidak Menular"
"A43.1","Cutaneous nocardiosis",,,"-","Tidak Menular"
"A43.8","Other forms of nocardiosis",,,"-","Tidak Menular"
"A43.9","Nocardiosis, unspecified",,,"-","Tidak Menular"
"A44","Bartonellosis",,,"-","Tidak Menular"
"A44.0","Systemic bartonellosis",,,"-","Tidak Menular"
"A44.1","Cutaneous and mucocutaneous bartonellosis",,,"-","Tidak Menular"
"A44.8","Other forms of bartonellosis",,,"-","Tidak Menular"
"A44.9","Bartonellosis, unspecified",,,"-","Tidak Menular"
"A46","Erysipelas",,,"-","Tidak Menular"
"A48","Other bacterial diseases, not elsewhere classified",,,"-","Tidak Menular"
